Id,End,ImageUrl,Instructors,Name,Platform,Start,Stream,Url
"7","2012-06-03","http://lh4.ggpht.com/NmHgq22XI-4hx0OwvnB3pljTTTqM-D-vUzK-w1araZg4lmziVamkX-Lr4Sq4SQ35bEnKNxh331BWHSfZHkkw","Sebastian Thrun;David Evans","CS101 - Intro to Computer Science: Building a Search Engine","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs101"
"47","2012-12-09","*","Jeremy Adelman","A History of the World since 1300","Coursera","2012-09-17","Humanities and Social Sciences","https://www.coursera.org/course/wh1300"
"69","2012-08-12","http://lh3.ggpht.com/ODg_QbKR_sjKmqxRfU860rusnA5DLdFrXVpmiGhnpDUuHB7w9_7Ydb4wqz-TwYYEEOTl-vgKRWtV4a9RmnE","Wes Weimer","CS262 - Programming Languages: Building a Web Browser","Udacity","2012-06-25","Computer Science","http://www.udacity.com/overview/Course/cs262"
"8","2012-06-03","http://www.udacity.com/media/img/pages/courses/CS373-featured.png","Sebastian Thrun","CS373 - Artificial Intelligence: Programming a Robotic Car","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs373"
"62","2012-08-12","http://lh3.ggpht.com/iDD5AbYQX0US4VM0yPmRXOEyzdm2L8Gm1lABA1GfIpMnuiEU9V5_Ld_L7LkrJnQiyaIDbvP9zNaijS3VvsOT","Michael Littman;Job Evers","CS215 - Algorithms: Crunching Social Networks ","Udacity","2012-06-25","Computer Science","http://www.udacity.com/overview/Course/cs215"
"54","2012-11-11","*","Scott E Page","Model Thinking","Coursera","2012-09-03","Complex Systems","https://www.coursera.org/course/modelthinking"
"32","2012-07-22","*","Dan Boneh","Cryptography","Coursera","2012-06-11","Computer Science","https://www.coursera.org/course/crypto"
"56","2013-03-10","*","Robert Sedgewick","Introduction to Analytic Combinatorics, Part I","Coursera","2013-02-04","Mathematics and Statistics","https://www.coursera.org/course/introACpartI"
"44","2012-10-14","*","Andrew Conway","Statistics One","Coursera","2012-09-03","Mathematics and Statistics","https://www.coursera.org/course/stats1"
"39","2012-09-09","*","Carol Muller","Listening to World Music","Coursera","2012-07-23","Humanities and Social Sciences","https://www.coursera.org/course/worldmusic"
"10","2012-06-03","http://lh3.ggpht.com/ODg_QbKR_sjKmqxRfU860rusnA5DLdFrXVpmiGhnpDUuHB7w9_7Ydb4wqz-TwYYEEOTl-vgKRWtV4a9RmnE","Wes Weimer","CS262 - Programming Languages: Building a Web Browser","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs262"
"31","2012-07-22","*","Tim Roughgarden","Design and Analysis of Algorithms I","Coursera","2012-06-11","Computer Science","https://www.coursera.org/course/algo"
"58","2012-08-12","http://lh3.ggpht.com/2MATQCkN-0lXJ07VO2mLf1iZi-OxjL60BN3IpJ1qvokNs3FKGbbrFem3Q9m8sOE_P6iH-_9z7DHFkT0M9ek","Andy Brown;Jonathan Burket","PH100 - Intro to Physics: Landmarks in Physics","Udacity","2012-06-25","Physics","http://www.udacity.com/overview/Course/ph100"
"3","2012-06-03","http://lh3.ggpht.com/_KfXMQlaM0fNl4cRzOeh8RiNdvEwgEwx3ZW4tryBUypXXUI2r4_SSbwPFjM70NGUB2L-n2TY1x-qmBikCQ","Steve Huffman","CS253 - Web Application Engineering: Building a Blog","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs253"
"65","2012-09-16","*","Kevin Werbach","Gamification","Coursera","2012-08-06","Economics, Finance, and Business","https://www.coursera.org/course/gamification"
"38","2012-09-30","*","Eric Rabkin","Fantasy and Science Fiction: The Human Mind, Our Modern World","Coursera","2012-07-23","Humanities and Social Sciences","https://www.coursera.org/course/fantasysf"
"2","2012-06-10","*","Michael Genesereth","Introduction to Logic","Coursera","2012-04-23","Computer Science","https://www.coursera.org/course/intrologic"
"21","2012-03-25","*","Armando Fox;David Patterson","Software Engineering for SaaS","Coursera","2012-02-20","Computer Science","https://www.coursera.org/course/saas"
"40","2012-08-26","*","Benjamin Abella","Cardiac Arrest, Hypothermia, and Resuscitation Science","Coursera","2012-07-23","Healthcare, Medicine, and Biology","https://www.coursera.org/course/cardiacarrest"
"14","2012-07-01","*","Alex Aiken","Compilers","Coursera","2012-04-23","Computer Science","https://www.coursera.org/course/compilers"
"55","2012-12-16","*","Robert Sedgewick;Kevin Wayne","Algorithms, Part II","Coursera","2012-11-05","Computer Science","https://www.coursera.org/course/algs4partII"
"18","2011-12-14","*","Andrew Ng","Introduction to Machine Learning","Coursera","2011-11-01","Computer Science","https://www.coursera.org/course/ml"
"25","2012-05-06","*","Chris Manning;Dan Jurafsky","Natural Language Processing","Coursera","2012-03-12","Computer Science","https://www.coursera.org/course/nlp"
"12","2012-06-03","*","Nick Parlante","Computer Science (CS101)","Coursera","2012-04-23","Computer Science","https://www.coursera.org/course/cs101"
"9","2012-06-03","http://lh6.ggpht.com/DwG6Oe7gOPCZsLGCyWGBFl9rKGjgbq4_g1UzUj6YpmrV9Y9MGU6uvsKY_FDVaZ22RLk1wyHsvqJ7TkAu-Q","Peter Norvig","CS212 - The Design of Computer Programs: Programming Principles","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs212"
"53","2012-11-11","*","Silvio Savarese;Fei-Fei Li","Computer Vision: From 3D Reconstruction to Visual Recognition","Coursera","2012-09-03","Computer Science","https://www.coursera.org/course/computervision"
"52","2012-11-11","*","Michael Kearns","Networked Life","Coursera","2012-09-03","Society, Networks and Information","https://www.coursera.org/course/networks"
"27","2012-05-06","*","Tim Roughgarden","Design and Analysis of Algorithms I","Coursera","2012-03-12","Computer Science","https://www.coursera.org/course/algo"
"4","2012-06-17","https://lh3.googleusercontent.com/-_MarIsxMmmI/T1_y4zO4kMI/AAAAAAAASiA/g-yRXBvIEug/s754/stanford.banner.jpg","Chuck Eesley","Technology Entrepreneurship","Individual","2012-04-16","Entrepreneurship","http://eesley.blogspot.com/"
"26","2012-06-13","*","Dan Boneh","Cryptography","Coursera","2012-03-12","Computer Science","https://www.coursera.org/course/crypto"
"13","2012-07-01","*","Jitendra Malik","Computer Vision: The Fundamentals","Coursera","2012-04-23","Computer Science","https://www.coursera.org/course/vision"
"16","2012-06-24","*","Armando Fox;David Patterson","Software Engineering for SaaS","Coursera","2012-05-18","Computer Science","https://www.coursera.org/course/saas"
"72","2012-08-12","http://lh6.ggpht.com/nR8FQ_pMEj_4MCFG1knZgCSIfnTiDXNI4rsSaDIXZU-0tRI2ikOpILXG1ivcadj7GamLlqZTvMJa_PbRuzg7","David Evans","CS387 - Applied Cryptography: Science of Secrets","Udacity","2012-06-25","Computer Science","http://www.udacity.com/overview/Course/cs387"
"45","2012-10-07","*","J. Alex Halderman","Securing Digital Democracy","Coursera","2012-09-03","Society, Networks and Information","https://www.coursera.org/course/digitaldemocracy"
"41","2013-02-10","*","Roy Hamilton","Basic Behavioral Neurology","Coursera","2013-01-07","Healthcare, Medicine, and Biology","https://www.coursera.org/course/neurobehavior"
"17","2012-07-08","*","Scott Klemmer","Human-Computer Interaction","Coursera","2012-05-28","Computer Science","https://www.coursera.org/course/hci"
"6","2012-06-06","*","Daphne Koller","Probabilistic Graphical Models","Coursera","2012-03-09","Computer Science","https://www.coursera.org/course/pgm"
"66","2013-03-03","*","Jonathan D. Moreno","Neuroethics","Coursera","2013-01-07","Healthcare, Medicine, and Biology ","https://www.coursera.org/course/neuroethics"
"63","2012-08-19","*","Armando Fox;David Patterson","Software Engineering for SaaS","Coursera","2012-07-13","Computer Science","https://www.coursera.org/course/saas"
"46","2012-11-11","*","Mung Chiang","Networks: Friends, Money, and Bytes","Coursera","2012-09-03","Society, Networks and Information","https://www.coursera.org/course/friendsmoneybytes"
"50","2012-10-28","*","Lada Adamic","Social Network Analysis","Coursera","2012-09-03","Society, Networks and Information","https://www.coursera.org/course/sna"
"36","2012-09-09","*","Charles Severance","Internet History, Technology, and Security","Coursera","2012-07-23","Society, Networks and Information","https://www.coursera.org/course/insidetheinternet"
"59","2012-08-12","http://www.udacity.com/media/img/pages/courses/MA101-featured.png","Sebastian Thrun;Adam Sherwin","ST101 - Introduction to Statistics: Making Decisions Based on Data","Udacity","2012-06-25","Mathematics and Statistics","http://www.udacity.com/overview/Course/st101"
"71","2012-08-12","http://www.udacity.com/media/img/pages/courses/CS373-featured.png","Sebastian Thrun","CS373 - Artificial Intelligence: Programming a Robotic Car","Udacity","2012-06-25","Computer Science","http://www.udacity.com/overview/Course/cs373"
"20","2011-12-07","http://www.db-class.org/course/assets/berry/img/cs145-landing.png","Jennifer Widom","Introduction to Databases","Coursera","2011-11-01","Computer Science","http://www.db-class.org/"
"19","2011-12-14","https://www.ai-class.com/media/img/ai_header_thin1.jpg","Sebastian Thrun;Peter Norvig","Introduction to Artificial Intelligence","Udacity","2011-11-01","Computer Science","https://www.ai-class.com/"
"61","2012-08-12","http://www.udacity.com/media/img/pages/courses/CS258-featured.png","John Regehr;Sean Bennett","CS258 - Software Testing: How to Make Software Fail","Udacity","2012-06-25","Computer Science","http://www.udacity.com/overview/Course/cs258"
"33","2012-08-19","*","Ezekiel Emanuel","Health Policy and the Affordable Care Act","Coursera","2012-06-25","Economics, Finance, and Business","https://www.coursera.org/course/healthpolicy"
"34","2012-07-29","*","Paul Offit","Vaccines","Coursera","2012-06-25","Healthcare, Medicine, and Biology","https://www.coursera.org/course/vaccines"
